strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
ROE_10_15__DEBTRATIO_0.35_0.55__C5_REVENUE_GROWTH_yoy__v1,ROE_10_15,DEBTRATIO_0.35_0.55,C5_REVENUE_GROWTH_yoy,v1,0.056039329235836766,147.05,-0.14221184591179015,0.6666666666666666,0.0295387205296882
ROE_10_15__None__C3_ROE_SEQ_yoy__v1,ROE_10_15,None,C3_ROE_SEQ_yoy,v1,0.05599024554586163,70.21,-0.22144565991872112,0.5454545454545454,-0.11759745967176505
ROE_<5__EPS_<0__C6_EPS_QOQ_yoy__v1,ROE_<5,EPS_<0,C6_EPS_QOQ_yoy,v1,0.055971705921302295,94.0,-0.2345945310779285,0.46153846153846156,0.067628976744186
EPS_<0__None__C6_EPS_QOQ_yoy__v1,EPS_<0,None,C6_EPS_QOQ_yoy,v1,0.055971705921302295,94.0,-0.2345945310779285,0.46153846153846156,0.067628976744186
DEBTRATIO_0.35_0.55__FCF_P_>=0.05__C8_FCF_MOM_riseq2__v0,DEBTRATIO_0.35_0.55,FCF_P_>=0.05,C8_FCF_MOM_riseq2,v0,0.055843306872930265,103.68,-0.3440018187048587,0.5454545454545454,0.0
EPS_>=2__ROE_<5__C8_FCF_MOM_riseq2__v1,EPS_>=2,ROE_<5,C8_FCF_MOM_riseq2,v1,0.05577061746707379,130.21,-0.2729386412515362,0.5853658536585366,-0.11492560189868373
DEBTRATIO_>=0.55__None__C8_FCF_MOM_riseq2__v1,DEBTRATIO_>=0.55,None,C8_FCF_MOM_riseq2,v1,0.05575706909628786,94.56,-0.30515805751167635,0.5454545454545454,-0.030892144564719115
DEBTRATIO_>=0.55__FCF_P_<0__C3_ROE_SEQ_yoy__v0,DEBTRATIO_>=0.55,FCF_P_<0,C3_ROE_SEQ_yoy,v0,0.0556410801164795,72.12,-0.4485120483086922,0.6382978723404256,0.19308367068770504
DEBTRATIO_0_0.35__FCF_P_0_0.05__C8_FCF_MOM_riseq2__v0,DEBTRATIO_0_0.35,FCF_P_0_0.05,C8_FCF_MOM_riseq2,v0,0.05547366006386123,68.28,-0.3111937729413953,0.5601173020527859,-0.16617943905044508
ROE_>=20__DEBTRATIO_0.35_0.55__C2_ROE_SEQ_riseq1__v0,ROE_>=20,DEBTRATIO_0.35_0.55,C2_ROE_SEQ_riseq1,v0,0.05530561707401627,101.05,-0.1598261376570762,0.6333333333333333,-0.002422001271545682
DEBTRATIO_>=0.55__ROE_5_10__C6_EPS_QOQ_yoy__v1,DEBTRATIO_>=0.55,ROE_5_10,C6_EPS_QOQ_yoy,v1,0.05526551398736257,134.02,-0.4072652482991467,0.6363636363636364,0.0
