strategy_uid,market,F1_factor,CAGR,max_drawdown,calmar,selects_tsmc
TW::P_IC_qb0of3__ROIC_qb2of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.2784421694294028,-0.461691758004887,0.6030910550204267,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C1_ROE_DYN_riseq1__v0,TW,EV_S,0.2774200277953211,-0.4248755215295549,0.6529442477566301,False
TW::P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,TW,P_IC,0.2773838988140398,-0.6101880613336842,0.45458755487244956,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,TW,P_IC,0.2773056231465001,-0.5824941281459968,0.47606595456872314,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,TW,MOM,0.2768500662455015,-0.5499184459792147,0.5034384066759704,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,P_IC,0.276584883155212,-0.5389494590285391,0.5131926167135571,False
TW::MOM_qb2of3__REV_G_qb1of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.2765735148457493,-0.5314417630616056,0.5204211149165717,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2764271242515532,-0.528857357989647,0.5226874885552119,False
TW::P_IC_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2761420819888429,-0.5009045472023612,0.5512868340508073,False
TW::P_IC_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2761123342319109,-0.4405478846412701,0.626747611004293,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2750663766003118,-0.5456949395540864,0.5040662037751015,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C2_ROE_DYN_riseq2__v0,TW,EV_S,0.2728976261197227,-0.4257973119402916,0.6409096968606284,False
TW::PB_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.272786642259466,-0.4873732248994613,0.5597078959676914,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.2721866596625633,-0.534440831462343,0.5092924111314682,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.271842060001066,-0.5366341414976132,0.5065687010565932,False
TW::PS_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2713961386040653,-0.5609975120508484,0.48377422853787305,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C10_EPS_DYN_qmax4__v0,TW,MOM,0.2708309034953109,-0.612044657600494,0.4425018667054408,False
TW::PS_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2704334240263586,-0.616428006796799,0.43871047558600795,False
TW::PB_qb0of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2691161855050232,-0.5588344633345583,0.48156690963404486,False
TW::PS_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,PS,0.268283878780162,-0.4142109583022956,0.6476986506580195,False
TW::PS_qb0of3__REVENUE_qb0of3__C2_ROE_DYN_riseq2__v0,TW,PS,0.2681573712794536,-0.4735177153623907,0.5663090578865216,False
TW::P_IC_qb0of3__ROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.268149879063136,-0.4405478846412701,0.6086736275705543,False
TW::EV_S_qb1of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,TW,EV_S,0.2680471515626559,-0.7872369288269185,0.340491079301983,False
TW::EV_S_qb0of3__MOM_qb2of3__C9_EPS_DYN_riseq2__v1,TW,EV_S,0.2674462509470376,-0.5822420492986622,0.45933860542911514,False
TW::P_IC_qb0of3__REVENUE_qb1of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2669596593026584,-0.5835222712966092,0.45749694987556117,False
TW::PS_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2657832617233779,-0.5511266036094589,0.48225445838161374,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.2655496451212207,-0.5450874491531879,0.4871688855315991,False
TW::P_IC_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2655319157912477,-0.4405478846412701,0.60273111062028,False
TW::P_IC_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2652743199180787,-0.6281270886752958,0.42232587115059084,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,P_IC,0.2651963969110364,-0.5150489508375605,0.5148955191147953,False
TW::P_IC_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2648819161677591,-0.5004574996164932,0.5292795419605888,False
TW::EV_S_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2648400355015883,-0.5518303568645622,0.47993016731877436,False
TW::PB_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2647959657796996,-0.5456711037328621,0.48526660834386554,False
TW::PB_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2645937717164577,-0.5174547396323403,0.5113370338523824,False
