strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
MOM_qb2of3__NETDEBT_EBITDA_qb1of3__C12_EPS_DYN_yoy__v0,MOM_qb2of3__NETDEBT_EBITDA_qb1of3,C12_EPS_DYN_yoy,0.17342172058081262,-0.5916781794830231,0.4939033348024093,115.8,v0
PB_qb0of3__ROIC_qb1of3__C8_EPS_DYN_riseq1__v0,PB_qb0of3__ROIC_qb1of3,C8_EPS_DYN_riseq1,0.17340343067189434,-0.557271624690349,0.5168928274716145,110.84912280701755,v0
PS_qb0of3__REVENUE_qb1of3__None__v0,PS_qb0of3__REVENUE_qb1of3,None,0.17336896604998708,-0.5754414122753868,0.5203012442698101,165.65319865319864,v0
PS_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v0,PS_qb0of3__NETDEBT_EBITDA_qb0of3,C9_EPS_DYN_riseq2,0.1732813214020712,-0.5740326422385187,0.5319722650231125,51.01094890510949,v0
MOM_qb2of3__CROIC_qb2of3__C2_ROE_DYN_riseq2__v0,MOM_qb2of3__CROIC_qb2of3,C2_ROE_DYN_riseq2,0.17327463031608148,-0.6307921834594198,0.5167357819905213,85.61678832116789,v0
P_IC_qb0of3__EPS_qb1of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,P_IC_qb0of3__EPS_qb1of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.17327350201602343,-0.4471985959850292,0.5151291512915129,17.176470588235293,v1
PB_qb0of3__ROIC_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,PB_qb0of3__ROIC_qb1of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.1732513515956864,-0.5248059081793811,0.5183553597650514,16.72280701754386,v1
ROE_qb2of3__ROIC_qb2of3__C4_ROE_DYN_qmax8__v0,ROE_qb2of3__ROIC_qb2of3,C4_ROE_DYN_qmax8,0.1732365097972468,-0.3234675110422406,0.48627450980392156,110.46781115879828,v0
MOM_qb2of3__REVENUE_qb2of3__C9_EPS_DYN_riseq2__v1,MOM_qb2of3__REVENUE_qb2of3,C9_EPS_DYN_riseq2,0.17323182649271973,-0.6673158358777445,0.5265251989389921,17.956204379562045,v1
EV_S_qb0of3__MOM_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,EV_S_qb0of3__MOM_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17321030044379926,-0.5213310947336381,0.5225225225225225,17.814126394052046,v1
PB_qb1of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,PB_qb1of3__NETDEBT_EBITDA_qb0of3,C9_EPS_DYN_riseq2,0.17319581450034405,-0.7477581731031632,0.5545023696682464,10.74169741697417,v1
MOM_qb2of3__FCF_OI_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,MOM_qb2of3__FCF_OI_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17310303744315392,-0.554669747652614,0.48988439306358383,15.875,v1
MOM_qb2of3__CROIC_qb1of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,MOM_qb2of3__CROIC_qb1of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.1730774265795405,-0.5362628688340212,0.5031347962382445,13.985714285714286,v1
PB_qb0of3__VOL_qb2of3__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,PB_qb0of3__VOL_qb2of3,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.17306999917431454,-0.5761809428617926,0.4939796233405372,55.463235294117645,v0
PB_qb1of3__VOL_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb1of3__VOL_qb1of3,C4_ROE_DYN_qmax8,0.17305954878540253,-0.6486105738461875,0.5251312828207052,19.903508771929825,v0
PS_qb0of3__DEBTRATIO_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,PS_qb0of3__DEBTRATIO_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.1730482593395266,-0.4417042689395013,0.4930612244897959,122.44117647058823,v0
MOM_qb2of3__FCF_P_qb0of3__C9_EPS_DYN_riseq2__v0,MOM_qb2of3__FCF_P_qb0of3,C9_EPS_DYN_riseq2,0.17303152345806838,-0.6628683380661863,0.48173147468818783,88.02554744525547,v0
ROE_qb2of3__VOL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,ROE_qb2of3__VOL_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.17301957696515258,-0.5121380015374541,0.5704160951074532,71.2,v0
ROE_qb2of3__OCF_E_qb2of3__C11_EPS_DYN_qmax8__v0,ROE_qb2of3__OCF_E_qb2of3,C11_EPS_DYN_qmax8,0.17301574534377528,-0.3164322950517856,0.4853195164075993,82.02145922746782,v0
PB_qb1of3__OCF_E_qb2of3__C2_ROE_DYN_riseq2__v0,PB_qb1of3__OCF_E_qb2of3,C2_ROE_DYN_riseq2,0.17300393660111424,-0.5581508468125453,0.5164089023010184,80.71897810218978,v0
ROE_qb2of3__EV_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,ROE_qb2of3__EV_EBITDA_qb0of3,C9_EPS_DYN_riseq2,0.17298424215876973,-0.6005436593210656,0.5446685878962536,17.235294117647058,v1
PB_qb0of3__EV_S_qb0of3__C12_EPS_DYN_yoy__v1,PB_qb0of3__EV_S_qb0of3,C12_EPS_DYN_yoy,0.17297123200606634,-0.5595982120471608,0.5361990950226244,18.455645161290324,v1
PS_qb0of3__None__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,PS_qb0of3__None,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.17295865634934815,-0.4261832043098561,0.5099017620458444,226.5183823529412,v0
ROE_qb2of3__REV_G_qb1of3__C5_ROE_DYN_yoy__v0,ROE_qb2of3__REV_G_qb1of3,C5_ROE_DYN_yoy,0.17295407850222766,-0.4513521762356535,0.5157699443413729,91.136,v0
EV_S_qb1of3__DEBTRATIO_qb1of3__C3_ROE_DYN_qmax4__v0,EV_S_qb1of3__DEBTRATIO_qb1of3,C3_ROE_DYN_qmax4,0.17295390943632172,-0.556591994387173,0.4971486078497149,47.5763358778626,v0
PB_qb1of3__ROIC_qb2of3__C19_FCF_P_DYN_yoy__v1,PB_qb1of3__ROIC_qb2of3,C19_FCF_P_DYN_yoy,0.17294625846770995,-0.5629615809259405,0.5295748613678374,13.708,v1
PB_qb0of3__EV_S_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,PB_qb0of3__EV_S_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.17293570645567424,-0.3715148213577917,0.5419630156472262,19.0,v1
P_IC_qb0of3__FCF_OI_qb1of3__C5_ROE_DYN_yoy__v1,P_IC_qb0of3__FCF_OI_qb1of3,C5_ROE_DYN_yoy,0.17292324411505966,-0.6043065703629291,0.5089392133492253,10.830645161290322,v1
P_IC_qb1of3__ROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,P_IC_qb1of3__ROIC_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17290478375655294,-0.5008074960544155,0.5193525686136523,17.537037037037038,v1
PB_qb0of3__REVENUE_qb0of3__C15_FCF_P_DYN_riseq1__v0,PB_qb0of3__REVENUE_qb0of3,C15_FCF_P_DYN_riseq1,0.1729032624411979,-0.6041177049172781,0.4968426370295529,60.217543859649126,v0
PS_qb0of3__REVENUE_qb1of3__C3_ROE_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb1of3,C3_ROE_DYN_qmax4,0.17288305466091036,-0.535475426272175,0.4756020278833967,53.14503816793893,v0
PS_qb0of3__NETDEBT_EBITDA_qb2of3__C1_ROE_DYN_riseq1__v0,PS_qb0of3__NETDEBT_EBITDA_qb2of3,C1_ROE_DYN_riseq1,0.17287997262942256,-0.6013858127030769,0.48496299795307823,114.30877192982456,v0
P_IC_qb1of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,P_IC_qb1of3__OCF_E_qb1of3,C11_EPS_DYN_qmax8,0.172870461806079,-0.49849727332613725,0.5244318181818182,26.892703862660944,v0
PS_qb0of3__ROIC_qb2of3__C19_FCF_P_DYN_yoy__v0,PS_qb0of3__ROIC_qb2of3,C19_FCF_P_DYN_yoy,0.17286353508259178,-0.5526235014797454,0.5079513564078578,51.22,v0
P_IC_qb1of3__MOM_qb2of3__C11_EPS_DYN_qmax8__v0,P_IC_qb1of3__MOM_qb2of3,C11_EPS_DYN_qmax8,0.1728318395771038,-0.5643014540749571,0.5055350553505535,37.93991416309013,v0
MOM_qb2of3__FCF_OI_qb1of3__C18_FCF_P_DYN_qmax8__v0,MOM_qb2of3__FCF_OI_qb1of3,C18_FCF_P_DYN_qmax8,0.17280920873302819,-0.840926556681709,0.45454545454545453,15.804347826086957,v0
EV_S_qb0of3__None__C12_EPS_DYN_yoy__v1,EV_S_qb0of3__None,C12_EPS_DYN_yoy,0.17278681019785003,-0.5579211758282301,0.5259391771019678,38.79435483870968,v1
MOM_qb2of3__EV_EBITDA_qb1of3__C1_ROE_DYN_riseq1__v0,MOM_qb2of3__EV_EBITDA_qb1of3,C1_ROE_DYN_riseq1,0.17275868007829054,-0.6581145831122919,0.508876523582406,94.83859649122807,v0
PB_qb1of3__ROE_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,PB_qb1of3__ROE_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.1727551501633231,-0.38901391395986484,0.5073563218390804,86.4595588235294,v0
PS_qb0of3__NETDEBT_EBITDA_qb0of3__C1_ROE_DYN_riseq1__v0,PS_qb0of3__NETDEBT_EBITDA_qb0of3,C1_ROE_DYN_riseq1,0.17274147648597182,-0.6165516780175068,0.5108660395718456,49.575438596491225,v0
P_IC_qb1of3__NETDEBT_EBITDA_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,P_IC_qb1of3__NETDEBT_EBITDA_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.17273514320854066,-0.4744609629043133,0.5156723963599595,12.775735294117647,v1
PS_qb1of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,PS_qb1of3__REVENUE_qb0of3,C9_EPS_DYN_riseq2,0.17272518251461544,-0.6008494009336198,0.47988276045830003,71.68978102189782,v0
EV_S_qb0of3__EPS_qb1of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EV_S_qb0of3__EPS_qb1of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.17272453719979497,-0.42512992967606544,0.5141583054626533,100.6875,v0
PB_qb1of3__EPS_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,PB_qb1of3__EPS_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.17271577408080807,-0.47651024994517177,0.5151597924064463,69.17894736842105,v0
MOM_qb2of3__EPS_qb2of3__C18_FCF_P_DYN_qmax8__v0,MOM_qb2of3__EPS_qb2of3,C18_FCF_P_DYN_qmax8,0.17271132379362975,-0.7298222880815253,0.4780539397144368,24.71244635193133,v0
