strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
EV_S_qb0of3__FCF_OI_qb1of3__C10_EPS_DYN_qmax4__v1,EV_S_qb0of3__FCF_OI_qb1of3,C10_EPS_DYN_qmax4,0.257983744585909,-0.38479531536556555,0.5249709639953543,10.927710843373495,v1
FCF_P_qb2of3__ACCRUAL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,FCF_P_qb2of3__ACCRUAL_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.25785089963612773,-0.6505995652583869,0.5519828510182208,10.676156583629894,v1
P_IC_qb0of3__REVENUE_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,P_IC_qb0of3__REVENUE_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.2570509799542966,-0.5216049252799158,0.5052631578947369,41.498245614035085,v0
EV_EBITDA_qb0of3__FCF_OI_qb1of3__C5_ROE_DYN_yoy__v1,EV_EBITDA_qb0of3__FCF_OI_qb1of3,C5_ROE_DYN_yoy,0.2567984742550016,-0.5046687935732073,0.5419426048565121,11.83265306122449,v1
P_IC_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__EPS_qb1of3,C4_ROE_DYN_qmax8,0.2566416139595826,-0.5230431887611334,0.5295336787564767,31.28755364806867,v0
EV_S_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb1of3,C4_ROE_DYN_qmax8,0.2564188994430614,-0.4853663300416371,0.5198307773664728,30.888412017167383,v0
EV_EBITDA_qb0of3__DEBTRATIO_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,EV_EBITDA_qb0of3__DEBTRATIO_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.25629858569881336,-0.5339359514154662,0.5702179176755447,10.512455516014235,v1
P_IC_qb0of3__None__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__None,C4_ROE_DYN_qmax8,0.25619353895639896,-0.5375868389846039,0.5320031096138896,66.0,v0
MOM_qb2of3__ACCRUAL_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,MOM_qb2of3__ACCRUAL_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.25601434751908414,-0.5453659215812348,0.5238500851788757,13.187279151943462,v1
PS_qb0of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__DEBTRATIO_qb2of3,C4_ROE_DYN_qmax8,0.2559755257743055,-0.4993814939286457,0.515089722675367,41.918454935622314,v0
