tree_key,scheme,mode,window_no,n_windows,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,k_mode,n_clusters,ratio,allocation,group,target_total,n_capped_clusters,n_backfilled,n_members,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe,oos_enb,n_clusters_covered,max_cluster_share
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.03,proportional,D_top_cagr,200,0,0,200,0.3356544650098878,-0.44242275906340356,1.1322957203155752,0.09742783957231871,-0.1682555780248196,0.846928465161847,3.8848549926722966,6,0.27
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.03,proportional,E_top_calmar,200,0,0,200,0.3067704086906107,-0.3660238081984648,1.1819445863219484,0.09186188678340779,-0.15988368252267415,0.8541548036865686,3.3624577251210703,6,0.235
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.05,equal,A_hrp,334,0,135,334,0.2631630627517989,-0.4486604871222144,1.020111777449097,0.09872770127823083,-0.16651940062728965,0.8387908096271326,4.1660487440009195,6,0.16766467065868262
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.05,equal,D_top_cagr,334,0,0,334,0.3098270828026648,-0.44922828379975743,1.105887867922623,0.1012964860728871,-0.16429418485437597,0.8860122509569625,3.872123372404789,6,0.26646706586826346
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.05,equal,E_top_calmar,334,0,0,334,0.2891253548469084,-0.38447304311200203,1.1429585650522924,0.09374442141844219,-0.16068659905189708,0.8528014744418182,3.356952789539011,6,0.25149700598802394
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.05,proportional,A_hrp,334,0,27,334,0.2001183344699533,-0.48134210913723463,0.8683065624075093,0.07420845938000742,-0.16899002792717044,0.6680343970448204,4.561680767836927,6,0.39520958083832336
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.05,proportional,D_top_cagr,334,0,0,334,0.3098270828026648,-0.44922828379975743,1.105887867922623,0.1012964860728871,-0.16429418485437597,0.8860122509569625,3.872123372404789,6,0.26646706586826346
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.05,proportional,E_top_calmar,334,0,0,334,0.2891253548469084,-0.38447304311200203,1.1429585650522924,0.09374442141844219,-0.16068659905189708,0.8528014744418182,3.356952789539011,6,0.25149700598802394
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.1,equal,A_hrp,668,1,340,668,0.2363217576709733,-0.4880366413365609,0.9281874066346243,0.09421168192318596,-0.16941654319820032,0.7965721872101966,,6,0.1781437125748503
TW,A,anchored,2,6,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,fixed,6,0.1,equal,D_top_cagr,668,1,0,668,0.2764894691644604,-0.45896599913614744,1.0475541665303132,0.10123259127720852,-0.16523830037696663,0.8788286043144431,,6,0.2874251497005988
