tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_draws,n_members_mean,n_backfilled_mean,enb_computed,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,G,silhouette_is,0.01,equal,1,2007-01,2016-12,2017-01,2018-12,24,7,67,30,67.0,0.0,True,0.1512478028764418,0.0038625787985174,-0.1392571959598619,0.0034685592467418,1.2400444440920388,0.0321322460919936,3.570391733111872,0.1661193167070071
TW,G,silhouette_is,0.01,proportional,1,2007-01,2016-12,2017-01,2018-12,24,7,67,30,67.0,0.0,True,0.1497060215710451,0.0045477536958819,-0.1393961361208546,0.0020854518417031,1.2304421440100342,0.0332165586520697,3.60910518297588,0.0707526830729973
TW,G,silhouette_is,0.03,equal,1,2007-01,2016-12,2017-01,2018-12,24,7,200,30,200.0,12.433333333333334,True,0.1366204595023984,0.0036423890411451,-0.1421220966525107,0.0018809098335244,1.136601059714353,0.0266732183771539,3.929833713089681,0.0902413636836567
TW,G,silhouette_is,0.03,proportional,1,2007-01,2016-12,2017-01,2018-12,24,7,200,30,200.0,0.0,True,0.134704158101764,0.0023708920615417,-0.1424657727897271,0.0016907060583025,1.123439870173594,0.0181029894298775,4.071097558895361,0.0787944090529371
TW,G,silhouette_is,0.05,equal,1,2007-01,2016-12,2017-01,2018-12,24,7,334,30,334.0,37.2,True,0.1293703653576868,0.003218204189343,-0.1453799141151021,0.0015504832325254,1.0766073735406516,0.0236380035468471,4.041282569710316,0.0656140089579594
TW,G,silhouette_is,0.05,proportional,1,2007-01,2016-12,2017-01,2018-12,24,7,334,30,334.0,0.0,True,0.1266270400356874,0.0024981075496563,-0.146178132697583,0.0015268213073797,1.0568850774543086,0.0163298610885105,4.421443003520198,0.0581799950826881
TW,G,silhouette_is,0.1,equal,1,2007-01,2016-12,2017-01,2018-12,24,7,668,30,668.0,193.8,False,0.1260579936798906,0.0016361629115638,-0.1473512380525459,0.0009160407933692,1.0451232640008967,0.0121144835983834,,
TW,G,silhouette_is,0.1,proportional,1,2007-01,2016-12,2017-01,2018-12,24,7,668,30,668.0,147.2,False,0.1271778786347121,0.0016069259595626,-0.1476780321324742,0.0009819257444688,1.0523752768777137,0.0125114201532541,,
TW,G,fixed,legacy,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,30,30,30.0,0.0,True,0.3443056255932877,0.0101938485596735,-0.186219462689685,0.0043242016237385,1.7529527258263833,0.0424644116662966,2.312683134797116,0.0945410181594647
TW,G,fixed,legacy,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,30,30,30.0,0.0,True,0.3448374236690623,0.0093895616913087,-0.1829791246015342,0.0041507716679579,1.7790736339546334,0.0444207574849884,2.44426546948852,0.0818064579621698
