tree_key,scheme,window_no,quality_metric,mode,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,n_pairs,spearman,spearman_p,pearson,oos_pct_top01,oos_pct_top03,oos_pct_top05,oos_pct_top10
TW,G,4,calmar,anchored,120,24,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.22296727034294783,5.084244026859928e-76,0.19551630214222454,0.572770970719095,0.6142274292558766,0.5994156319790424,0.5836543711498997
TW,G,4,cagr,anchored,120,24,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.2417352134714569,2.0095245353549463e-89,0.21734632677012639,0.5012614722464933,0.5015473873334331,0.5221267302197521,0.5455561403021177
TW,H,1,calmar,anchored,120,36,2007-01,2016-12,2017-01,2019-12,120,36,6679,6679,0.4933896716885212,0.0,0.4683098282687424,0.8238721052619817,0.7797649348704897,0.767927089375673,0.7391724262210718
TW,H,1,cagr,anchored,120,36,2007-01,2016-12,2017-01,2019-12,120,36,6679,6679,0.5153047594554945,0.0,0.47761027594387917,0.8173468635263568,0.7822877676298846,0.7713258914122646,0.7431335860992493
TW,H,2,calmar,anchored,120,36,2007-01,2019-12,2020-01,2022-12,156,36,6679,6679,0.32729116555551435,1.576547500639795e-166,0.309112603980954,0.6789379945608087,0.6201025602635125,0.5908070070369816,0.586379867903062
TW,H,2,cagr,anchored,120,36,2007-01,2019-12,2020-01,2022-12,156,36,6679,6679,0.3518996777294542,5.867590010419163e-194,0.3656680727048596,0.6836844375219275,0.6421088486300343,0.6266064965442675,0.6209540045526555
TW,H,3,calmar,anchored,120,36,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.22296727034294783,5.084244026859928e-76,0.19551630214222454,0.572770970719095,0.6142274292558766,0.5994156319790424,0.5836543711498997
TW,H,3,cagr,anchored,120,36,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.2417352134714569,2.0095245353549463e-89,0.21734632677012639,0.5012614722464933,0.5015473873334331,0.5221267302197521,0.5455561403021177
TW,I,1,calmar,anchored,120,48,2007-01,2016-12,2017-01,2020-12,120,48,6679,6679,0.4172249065232838,1.1812440686941127e-279,0.370864625611631,0.7656119760532567,0.7024262614163796,0.6805363670024825,0.660810360115224
TW,I,1,cagr,anchored,120,48,2007-01,2016-12,2017-01,2020-12,120,48,6679,6679,0.49367823854677534,0.0,0.4780752208987808,0.8219860422397669,0.7624142835753855,0.7457214631972767,0.7162683914996777
TW,I,2,calmar,anchored,120,48,2007-01,2020-12,2021-01,2025-12,168,60,6679,6679,0.3824263272475916,1.4271881987932282e-231,0.3637664422546492,0.698949480774001,0.7030393771522684,0.670013618518316,0.6490429830561963
TW,I,2,cagr,anchored,120,48,2007-01,2020-12,2021-01,2025-12,168,60,6679,6679,0.4229992834430666,3.342544765756481e-288,0.3831171091759034,0.6532303298599084,0.6577354394370414,0.6442088124992715,0.6607984808941781
TW,J,1,calmar,anchored,144,24,2007-01,2018-12,2019-01,2020-12,144,24,6679,6679,0.2445058086525273,1.6680055514013288e-91,0.15511867831460854,0.6172677561436716,0.6027489145081598,0.5765008387178331,0.5690882047852192
TW,J,1,cagr,anchored,144,24,2007-01,2018-12,2019-01,2020-12,144,24,6679,6679,0.391866498186451,4.754321783732539e-244,0.3946737347886567,0.7637192090155599,0.7223716125168438,0.6943498838525971,0.6734534374879526
TW,J,2,calmar,anchored,144,24,2007-01,2020-12,2021-01,2022-12,168,24,6679,6679,0.4095074735156201,1.7290176887887337e-268,0.40433421479262394,0.7873486289171003,0.7254289564306033,0.6884340317717612,0.668825024004992
TW,J,2,cagr,anchored,144,24,2007-01,2020-12,2021-01,2022-12,168,24,6679,6679,0.4239803341963501,1.1350873213968377e-289,0.42182183640971477,0.760867767763965,0.6779974547087888,0.6809622258701641,0.6834106902230873
TW,J,3,calmar,anchored,144,24,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.22296727034294783,5.084244026859928e-76,0.19551630214222454,0.572770970719095,0.6142274292558766,0.5994156319790424,0.5836543711498997
TW,J,3,cagr,anchored,144,24,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.2417352134714569,2.0095245353549463e-89,0.21734632677012639,0.5012614722464933,0.5015473873334331,0.5221267302197521,0.5455561403021177
TW,K,1,calmar,anchored,144,36,2007-01,2018-12,2019-01,2021-12,144,36,6679,6679,0.29656717605476984,1.0858535822234866e-135,0.21351140530910961,0.67049316972556,0.635609372660578,0.6065081993521566,0.5885105070589469
TW,K,1,cagr,anchored,144,36,2007-01,2018-12,2019-01,2021-12,144,36,6679,6679,0.46836917147859,0.0,0.4639929986699491,0.7675829566049077,0.7217105854169786,0.7036017798211034,0.6945477961579462
TW,K,2,calmar,anchored,144,36,2007-01,2021-12,2022-01,2025-12,180,48,6679,6679,0.3272509597419411,1.7397753394043722e-166,0.30274765013160326,0.6528437316337907,0.6688141937415781,0.6444912241694183,0.6296204566462225
TW,K,2,cagr,anchored,144,36,2007-01,2021-12,2022-01,2025-12,180,48,6679,6679,0.3435766113062705,2.119360975716294e-184,0.30485782892949814,0.5596914365140908,0.5724067974247642,0.5794688508893279,0.6173763417916376
TW,L,1,calmar,anchored,144,48,2007-01,2018-12,2019-01,2022-12,144,48,6679,6679,0.36523826868289855,6.854870438822941e-210,0.32985371164072935,0.7323846406535967,0.6727526575834706,0.6357153935877309,0.6153745809772878
TW,L,1,cagr,anchored,144,48,2007-01,2018-12,2019-01,2022-12,144,48,6679,6679,0.473326646815453,0.0,0.47484145233993164,0.7722511860520723,0.7094572540799521,0.7013761068968516,0.6941425578249102
TW,L,2,calmar,anchored,144,48,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.22296727034294783,5.084244026859928e-76,0.19551630214222454,0.572770970719095,0.6142274292558766,0.5994156319790424,0.5836543711498997
TW,L,2,cagr,anchored,144,48,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.2417352134714569,2.0095245353549463e-89,0.21734632677012639,0.5012614722464933,0.5015473873334331,0.5221267302197521,0.5455561403021177
TW,R,1,calmar,rolling,96,36,2007-01,2014-12,2015-01,2017-12,96,36,6679,6679,0.38735213835552446,4.956179257870771e-238,0.2818470684598618,0.663494177562554,0.6841712831262166,0.6825056280611408,0.6701844103378809
TW,R,1,cagr,rolling,96,36,2007-01,2014-12,2015-01,2017-12,96,36,6679,6679,0.44970622202436794,0.0,0.4025354503147665,0.7167799272837787,0.6799034286569846,0.675617921217006,0.6718425702868854
TW,R,2,calmar,rolling,96,36,2010-01,2017-12,2018-01,2020-12,96,36,6680,6680,0.33381676272138383,1.3837489577692604e-173,0.2895335286916505,0.6697962284386451,0.6527133233532935,0.6375407866900928,0.61780204560938
TW,R,2,cagr,rolling,96,36,2010-01,2017-12,2018-01,2020-12,96,36,6680,6680,0.39025226449358374,6.367462795864546e-242,0.377458465290923,0.7867727232102959,0.7009573353293413,0.685862705726272,0.6441937233317796
TW,R,3,calmar,rolling,96,36,2013-01,2020-12,2021-01,2023-12,96,36,6680,6680,0.42807446097645263,6.721189553926667e-296,0.4238931769955996,0.8023170077754938,0.7225411676646707,0.7155962028039728,0.6840627128975582
TW,R,3,cagr,rolling,96,36,2013-01,2020-12,2021-01,2023-12,96,36,6680,6680,0.521055661099226,0.0,0.5079447911985288,0.8514210385199749,0.7995029940119761,0.7749636953637634,0.7507014414285201
TW,R,4,calmar,rolling,96,36,2016-01,2023-12,2024-01,2025-12,96,24,6680,6680,-0.004695460796486996,0.7012035878012225,-0.022189359434991392,0.4092747341138618,0.4015868263473054,0.39416302126286357,0.4393802215927427
TW,R,4,cagr,rolling,96,36,2016-01,2023-12,2024-01,2025-12,96,24,6680,6680,-0.00519632795093954,0.6711094428629023,0.002228397132285836,0.35139646080972387,0.37518338323353295,0.3794125820215856,0.43990170855893
US,A,1,calmar,anchored,72,24,2002-01,2012-12,2013-01,2014-12,132,24,8360,8360,0.29331135753529053,1.6013803211435061e-165,0.27492943826114136,0.6229736272499431,0.6106773861491832,0.6094056912616469,0.5806649344108422
US,A,1,cagr,anchored,72,24,2002-01,2012-12,2013-01,2014-12,132,24,8360,8360,0.5069775376809119,0.0,0.43210139200855346,0.7840894850763273,0.739720067100021,0.7296968361530185,0.709447614523477
US,A,2,calmar,anchored,72,24,2002-01,2014-12,2015-01,2016-12,156,24,8360,8360,-0.1414523638431932,1.2743356616199226e-38,-0.01530367059480642,0.5250640806561859,0.5489777731180541,0.5283864838259197,0.4849913291820242
US,A,2,cagr,anchored,72,24,2002-01,2014-12,2015-01,2016-12,156,24,8360,8360,-0.029877796464043222,0.006294750966437991,0.011511555488114306,0.539493620414673,0.499492460778894,0.49000852773517095,0.46981382065428906
US,A,3,calmar,anchored,72,24,2002-01,2016-12,2017-01,2018-12,180,24,8360,8360,0.33860242368770394,2.517983943460527e-223,0.4388695038121379,0.8310449419002048,0.846125545664233,0.8073825004006318,0.7503949085414711
US,A,3,cagr,anchored,72,24,2002-01,2016-12,2017-01,2018-12,180,24,8360,8360,0.2920725625921663,4.4235113185699944e-164,0.34034202104994693,0.8428044543176121,0.7732405307001659,0.7488347336370504,0.6889188090931984
US,A,4,calmar,anchored,72,24,2002-01,2018-12,2019-01,2020-12,204,24,8360,8360,0.2692672286468734,8.043095111376454e-139,0.3277772142276117,0.7560591820460241,0.7236432261385082,0.7173779789839977,0.6983172031317963
US,A,4,cagr,anchored,72,24,2002-01,2018-12,2019-01,2020-12,204,24,8360,8360,0.3724446837454415,2.2296135600923865e-273,0.38468447618384394,0.8681091934381409,0.7814269238834136,0.7648239509168746,0.7247184130399945
US,A,5,calmar,anchored,72,24,2002-01,2020-12,2021-01,2022-12,228,24,8360,8360,0.020753506263814874,0.05776505446705686,0.01756354598345306,0.5061318067897016,0.5177543414857317,0.49346082965133586,0.4783535747807971
US,A,5,cagr,anchored,72,24,2002-01,2020-12,2021-01,2022-12,228,24,8360,8360,0.12105683427013632,1.1494392091806672e-28,0.09537390846180609,0.5959614946457052,0.5188013496254217,0.5248503353860946,0.5199131201208764
US,A,6,calmar,anchored,72,24,2002-01,2022-12,2023-01,2025-12,252,36,8360,8360,0.44982154100623817,0.0,0.445791565674035,0.8234435520619732,0.7281924931851542,0.6963356493670017,0.671146780064559
US,A,6,cagr,anchored,72,24,2002-01,2022-12,2023-01,2025-12,252,36,8360,8360,0.5872921200550483,0.0,0.5914296909354168,0.9249999999999998,0.8637421605444252,0.8336879879123648,0.7880791991941577
US,B,1,calmar,anchored,72,36,2002-01,2012-12,2013-01,2015-12,132,36,8360,8360,0.002114319186402741,0.8467319121723579,0.07817025305742203,0.5872878218272954,0.580589603309251,0.5623543417046313,0.5266251344978365
US,B,1,cagr,anchored,72,36,2002-01,2012-12,2013-01,2015-12,132,36,8360,8360,0.3111852393901099,3.940605282740079e-187,0.25634993553681623,0.6809879813169288,0.6461617644255514,0.6328103179872255,0.6148057794006547
US,B,2,calmar,anchored,72,36,2002-01,2015-12,2016-01,2018-12,168,36,8360,8360,0.2973412833821309,2.9225045016472003e-170,0.41356769466973003,0.8378061631351105,0.8299672124897539,0.797462855703853,0.7280236258327418
US,B,2,cagr,anchored,72,36,2002-01,2015-12,2016-01,2018-12,168,36,8360,8360,0.41040873328939526,0.0,0.4324645098904406,0.8345722260195946,0.792713357097924,0.7630465763146449,0.7212336313271217
US,B,3,calmar,anchored,72,36,2002-01,2018-12,2019-01,2021-12,204,36,8360,8360,0.34438101478868494,1.9281740417720503e-231,0.3805302430001242,0.7584785828206881,0.7354567376427306,0.7239191524919301,0.7070113436047709
US,B,3,cagr,anchored,72,36,2002-01,2018-12,2019-01,2021-12,204,36,8360,8360,0.5274241564626252,0.0,0.5060518685714478,0.8716307814992025,0.7919603881126213,0.7912885465076348,0.7654024346970079
US,B,4,calmar,anchored,72,36,2002-01,2021-12,2022-01,2025-12,240,48,8360,8360,0.41043195955175626,0.0,0.3926190411500326,0.749622636135794,0.7078666196458187,0.6768037018383279,0.64621159657517
US,B,4,cagr,anchored,72,36,2002-01,2021-12,2022-01,2025-12,240,48,8360,8360,0.6078141053091873,0.0,0.6113918253546292,0.9107171337434494,0.8269229302884158,0.8042604335981319,0.7711975744602916
US,C,1,calmar,anchored,72,48,2002-01,2012-12,2013-01,2016-12,132,48,8360,8360,-0.03954060226277213,0.0002989700573423966,0.05031697558224664,0.5443879585326954,0.5566647286452276,0.5469695061926239,0.5101088001648314
US,C,1,cagr,anchored,72,48,2002-01,2012-12,2013-01,2016-12,132,48,8360,8360,0.3486221021872213,1.6511255705919425e-237,0.28925865432849285,0.6822197539302801,0.6506857736518042,0.6564584716467112,0.6265182516425906
US,C,2,calmar,anchored,72,48,2002-01,2016-12,2017-01,2020-12,180,48,8360,8360,0.33116526253007894,3.919144307389961e-213,0.4069774447887653,0.7986087377534746,0.7998103280657275,0.7736753393924132,0.7438826377601244
US,C,2,cagr,anchored,72,48,2002-01,2016-12,2017-01,2020-12,180,48,8360,8360,0.42228093039181164,0.0,0.45318023096158605,0.9143939393939394,0.8454211860691206,0.8112225567180239,0.7524756186900483
US,C,3,calmar,anchored,72,48,2002-01,2020-12,2021-01,2025-12,228,60,8360,8360,0.25458541264426116,8.27072629866145e-124,0.25275994713226296,0.6577623034859876,0.6404463485769839,0.6004733179185457,0.5700942629518555
US,C,3,cagr,anchored,72,48,2002-01,2020-12,2021-01,2025-12,228,60,8360,8360,0.583589409889146,0.0,0.5792192689630786,0.8832735247208933,0.7780728759602736,0.76310037544928,0.7346539399281151
US,D,1,calmar,anchored,96,24,2002-01,2014-12,2015-01,2016-12,156,24,8360,8360,-0.1414523638431932,1.2743356616199226e-38,-0.01530367059480642,0.5250640806561859,0.5489777731180541,0.5283864838259197,0.4849913291820242
US,D,1,cagr,anchored,96,24,2002-01,2014-12,2015-01,2016-12,156,24,8360,8360,-0.029877796464043222,0.006294750966437991,0.011511555488114306,0.539493620414673,0.499492460778894,0.49000852773517095,0.46981382065428906
US,D,2,calmar,anchored,96,24,2002-01,2016-12,2017-01,2018-12,180,24,8360,8360,0.33860242368770394,2.517983943460527e-223,0.4388695038121379,0.8310449419002048,0.846125545664233,0.8073825004006318,0.7503949085414711
US,D,2,cagr,anchored,96,24,2002-01,2016-12,2017-01,2018-12,180,24,8360,8360,0.2920725625921663,4.4235113185699944e-164,0.34034202104994693,0.8428044543176121,0.7732405307001659,0.7488347336370504,0.6889188090931984
US,D,3,calmar,anchored,96,24,2002-01,2018-12,2019-01,2020-12,204,24,8360,8360,0.2692672286468734,8.043095111376454e-139,0.3277772142276117,0.7560591820460241,0.7236432261385082,0.7173779789839977,0.6983172031317963
US,D,3,cagr,anchored,96,24,2002-01,2018-12,2019-01,2020-12,204,24,8360,8360,0.3724446837454415,2.2296135600923865e-273,0.38468447618384394,0.8681091934381409,0.7814269238834136,0.7648239509168746,0.7247184130399945
US,D,4,calmar,anchored,96,24,2002-01,2020-12,2021-01,2022-12,228,24,8360,8360,0.020753506263814874,0.05776505446705686,0.01756354598345306,0.5061318067897016,0.5177543414857317,0.49346082965133586,0.4783535747807971
US,D,4,cagr,anchored,96,24,2002-01,2020-12,2021-01,2022-12,228,24,8360,8360,0.12105683427013632,1.1494392091806672e-28,0.09537390846180609,0.5959614946457052,0.5188013496254217,0.5248503353860946,0.5199131201208764
US,D,5,calmar,anchored,96,24,2002-01,2022-12,2023-01,2025-12,252,36,8360,8360,0.44982154100623817,0.0,0.445791565674035,0.8234435520619732,0.7281924931851542,0.6963356493670017,0.671146780064559
US,D,5,cagr,anchored,96,24,2002-01,2022-12,2023-01,2025-12,252,36,8360,8360,0.5872921200550483,0.0,0.5914296909354168,0.9249999999999998,0.8637421605444252,0.8336879879123648,0.7880791991941577
US,E,1,calmar,anchored,96,36,2002-01,2014-12,2015-01,2017-12,156,36,8360,8360,-0.10086128790106107,2.368838777611745e-20,0.01288732745277901,0.5609492481203008,0.5793348138546295,0.5525508802454157,0.5040206268171517
US,E,1,cagr,anchored,96,36,2002-01,2014-12,2015-01,2017-12,156,36,8360,8360,0.118521945203413,1.5409430597955954e-27,0.13586638063422526,0.6347502278423331,0.5912717550849235,0.576906721457842,0.542341492868753
US,E,2,calmar,anchored,96,36,2002-01,2017-12,2018-01,2020-12,192,36,8360,8360,0.325720274511381,7.531128665243575e-206,0.41426481821927114,0.7716564137616769,0.8036852589641434,0.7797108582678968,0.7410664819944598
US,E,2,cagr,anchored,96,36,2002-01,2017-12,2018-01,2020-12,192,36,8360,8360,0.3912753122913347,5.83940890296835e-304,0.4309703948195154,0.9076170539986327,0.8357217064755333,0.7978743618506902,0.7460324569034592
US,E,3,calmar,anchored,96,36,2002-01,2020-12,2021-01,2023-12,228,36,8360,8360,0.061463433782062316,1.8629873837521384e-08,0.054067698439424466,0.53781328320802,0.5376689414590442,0.5003142098395182,0.47695780201918453
US,E,3,cagr,anchored,96,36,2002-01,2020-12,2021-01,2023-12,228,36,8360,8360,0.2841637648348956,4.7618781136915735e-155,0.2651487654837094,0.7229223627249943,0.6128781524619227,0.6059605434857261,0.5920355818319178
