tree_key,scheme,window_no,ratio,allocation,group,threshold_mode,is_start,is_end,oos_start,oos_end,n_clusters,target_total,n_members,n_draws,n_backfilled_mean,threshold_global,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,H,1,legacy,proportional,A2_random,group_relative,2007-01,2016-12,2017-01,2019-12,6,30,30,30,0.0,0.8262775734024624,0.21437409711951017,0.005228634697989235,-0.13406650625695077,0.0035381462254346664,1.8891503926624786,0.04761024442787202,3.6458593054336905,0.1565037422959406
TW,H,1,legacy,proportional,A_hrp,global,2007-01,2016-12,2017-01,2019-12,6,30,30,1,0.0,0.8262775734024624,0.1999876751706986,,-0.13084010846028338,,1.8168477396960212,,4.800512812437929,
TW,H,1,legacy,proportional,A2_random,global,2007-01,2016-12,2017-01,2019-12,6,30,30,30,0.0,0.8262775734024624,0.21458499033554712,0.005028961379282591,-0.13413615264834286,0.003457518495737455,1.887814352436817,0.049481057338857354,3.6522562419128595,0.1484113881946402
TW,H,1,0.03,equal,A_hrp,group_relative,2007-01,2016-12,2017-01,2019-12,6,200,200,1,62.0,0.8262775734024624,0.19247086692502746,,-0.14431521980133732,,1.6939724244220935,,4.748004041667864,
TW,H,1,0.03,equal,A2_random,group_relative,2007-01,2016-12,2017-01,2019-12,6,200,200,30,16.833333333333332,0.8262775734024624,0.18994992939824737,0.0029053171567936385,-0.1442348906191343,0.002284651861878187,1.6782098363528843,0.026253955253634977,5.013938534014112,0.11946193804195264
TW,H,1,0.03,equal,A_hrp,global,2007-01,2016-12,2017-01,2019-12,6,200,200,1,54.0,0.8262775734024624,0.18220424749446718,,-0.14769318834149725,,1.6061324325065447,,5.389151621414561,
TW,H,1,0.03,equal,A2_random,global,2007-01,2016-12,2017-01,2019-12,6,200,200,30,16.4,0.8262775734024624,0.1900346430706507,0.002914723159794713,-0.1438829107662841,0.0020714457898899728,1.6808536260851565,0.02611682413859339,5.00504493158745,0.1379654723974196
TW,H,1,0.03,proportional,A_hrp,group_relative,2007-01,2016-12,2017-01,2019-12,6,200,200,1,0.0,0.8262775734024624,0.1820047081351719,,-0.14663678864814955,,1.6267753782791947,,5.447560800162879,
TW,H,1,0.03,proportional,A2_random,group_relative,2007-01,2016-12,2017-01,2019-12,6,200,200,30,0.0,0.8262775734024624,0.191378369240922,0.0027284483308517944,-0.1421867222133357,0.0015519669013832828,1.7064184150872792,0.021409060224595034,5.284246667877568,0.09250682364619427
TW,H,1,0.03,proportional,A_hrp,global,2007-01,2016-12,2017-01,2019-12,6,200,200,1,49.0,0.8262775734024624,0.1873266322647642,,-0.1470692458328473,,1.6489121460813334,,5.362175356466628,
TW,H,1,0.03,proportional,A2_random,global,2007-01,2016-12,2017-01,2019-12,6,200,200,30,0.0,0.8262775734024624,0.19132137131682964,0.0023494856703340345,-0.1421355817700959,0.001602560718095639,1.7073637341071835,0.0198092867922994,5.276628909463013,0.08066074828563666
TW,H,2,legacy,equal,A_hrp,group_relative,2007-01,2019-12,2020-01,2022-12,6,30,30,1,1.0,0.8210735596857395,0.23142690941462107,,-0.14066302991901591,,1.0364327388552688,,1.9666922312671071,
TW,H,2,legacy,equal,A2_random,group_relative,2007-01,2019-12,2020-01,2022-12,6,30,30,30,0.0,0.8210735596857395,0.2458514212157124,0.010142518124448288,-0.14597488978887094,0.004011123586478745,1.0848136275471523,0.03355165115176707,1.9151430335066923,0.06556233498350661
TW,H,2,legacy,equal,A_hrp,global,2007-01,2019-12,2020-01,2022-12,6,30,30,1,2.0,0.8210735596857395,0.22890730244965263,,-0.140250020983677,,1.0224289792845367,,1.9894851062049084,
TW,H,2,legacy,equal,A2_random,global,2007-01,2019-12,2020-01,2022-12,6,30,30,30,0.0,0.8210735596857395,0.24528746654617078,0.01147518265461158,-0.14551600600711637,0.003866962013972224,1.0838948193816904,0.03828206308874399,1.9206643286838232,0.06994041891506857
