high門檻,low門檻,same誤判為高互補,cross判為高互補,cross誤判為低互補,核心結論成立
0.53,0.68,3,18,3,False
0.53,0.69,3,18,3,False
0.53,0.7,3,18,3,False
0.53,0.71,3,18,3,False
0.53,0.72,3,18,3,False
0.53,0.73,3,18,3,False
0.53,0.74,3,18,3,False
0.53,0.75,3,18,3,False
0.53,0.76,3,18,3,False
0.53,0.77,3,18,3,False
0.53,0.78,3,18,3,False
0.53,0.79,3,18,3,False
0.53,0.8,3,18,3,False
0.53,0.81,3,18,3,False
0.53,0.82,3,18,3,False
0.53,0.83,3,18,3,False
0.53,0.84,3,18,3,False
0.53,0.85,3,18,3,False
0.53,0.86,3,18,3,False
0.53,0.87,3,18,3,False
0.53,0.88,3,18,3,False
0.53,0.89,3,18,3,False
0.53,0.9,3,18,3,False
0.54,0.65,4,20,3,False
0.54,0.66,4,20,3,False
0.54,0.67,4,20,3,False
0.54,0.68,4,20,3,False
0.54,0.69,4,20,3,False
0.54,0.7,4,20,3,False
0.54,0.71,4,20,3,False
0.54,0.72,4,20,3,False
0.54,0.73,4,20,3,False
0.54,0.74,4,20,3,False
0.54,0.75,4,20,3,False
0.54,0.76,4,20,3,False
0.54,0.77,4,20,3,False
0.54,0.78,4,20,3,False
0.54,0.79,4,20,3,False
0.54,0.8,4,20,3,False
0.54,0.81,4,20,3,False
0.54,0.82,4,20,3,False
0.54,0.83,4,20,3,False
0.54,0.84,4,20,3,False
0.54,0.85,4,20,3,False
0.54,0.86,4,20,3,False
0.54,0.87,4,20,3,False
0.54,0.88,4,20,3,False
0.54,0.89,4,20,3,False
0.54,0.9,4,20,3,False
0.55,0.65,4,22,3,False
0.55,0.66,4,22,3,False
0.55,0.67,4,22,3,False
0.55,0.68,4,22,3,False
0.55,0.69,4,22,3,False
0.55,0.7,4,22,3,False
0.55,0.71,4,22,3,False
0.55,0.72,4,22,3,False
0.55,0.73,4,22,3,False
0.55,0.74,4,22,3,False
0.55,0.75,4,22,3,False
0.55,0.76,4,22,3,False
0.55,0.77,4,22,3,False
0.55,0.78,4,22,3,False
0.55,0.79,4,22,3,False
0.55,0.8,4,22,3,False
0.55,0.81,4,22,3,False
0.55,0.82,4,22,3,False
0.55,0.83,4,22,3,False
0.55,0.84,4,22,3,False
0.55,0.85,4,22,3,False
0.55,0.86,4,22,3,False
0.55,0.87,4,22,3,False
0.55,0.88,4,22,3,False
0.55,0.89,4,22,3,False
0.55,0.9,4,22,3,False
0.56,0.65,4,23,3,False
0.56,0.66,4,23,3,False
0.56,0.67,4,23,3,False
0.56,0.68,4,23,3,False
0.56,0.69,4,23,3,False
0.56,0.7,4,23,3,False
0.56,0.71,4,23,3,False
0.56,0.72,4,23,3,False
0.56,0.73,4,23,3,False
0.56,0.74,4,23,3,False
0.56,0.75,4,23,3,False
0.56,0.76,4,23,3,False
0.56,0.77,4,23,3,False
0.56,0.78,4,23,3,False
0.56,0.79,4,23,3,False
0.56,0.8,4,23,3,False
0.56,0.81,4,23,3,False
0.56,0.82,4,23,3,False
0.56,0.83,4,23,3,False
0.56,0.84,4,23,3,False
0.56,0.85,4,23,3,False
0.56,0.86,4,23,3,False
0.56,0.87,4,23,3,False
0.56,0.88,4,23,3,False
0.56,0.89,4,23,3,False
0.56,0.9,4,23,3,False
0.57,0.65,5,23,3,False
0.57,0.66,5,23,3,False
0.57,0.67,5,23,3,False
0.57,0.68,5,23,3,False
0.57,0.69,5,23,3,False
0.57,0.7,5,23,3,False
0.57,0.71,5,23,3,False
0.57,0.72,5,23,3,False
0.57,0.73,5,23,3,False
0.57,0.74,5,23,3,False
0.57,0.75,5,23,3,False
0.57,0.76,5,23,3,False
0.57,0.77,5,23,3,False
0.57,0.78,5,23,3,False
0.57,0.79,5,23,3,False
0.57,0.8,5,23,3,False
0.57,0.81,5,23,3,False
0.57,0.82,5,23,3,False
0.57,0.83,5,23,3,False
0.57,0.84,5,23,3,False
0.57,0.85,5,23,3,False
0.57,0.86,5,23,3,False
0.57,0.87,5,23,3,False
0.57,0.88,5,23,3,False
0.57,0.89,5,23,3,False
0.57,0.9,5,23,3,False
0.58,0.65,5,23,3,False
0.58,0.66,5,23,3,False
0.58,0.67,5,23,3,False
0.58,0.68,5,23,3,False
0.58,0.69,5,23,3,False
0.58,0.7,5,23,3,False
0.58,0.71,5,23,3,False
0.58,0.72,5,23,3,False
0.58,0.73,5,23,3,False
0.58,0.74,5,23,3,False
0.58,0.75,5,23,3,False
0.58,0.76,5,23,3,False
0.58,0.77,5,23,3,False
0.58,0.78,5,23,3,False
0.58,0.79,5,23,3,False
0.58,0.8,5,23,3,False
0.58,0.81,5,23,3,False
0.58,0.82,5,23,3,False
0.58,0.83,5,23,3,False
0.58,0.84,5,23,3,False
0.58,0.85,5,23,3,False
0.58,0.86,5,23,3,False
0.58,0.87,5,23,3,False
0.58,0.88,5,23,3,False
0.58,0.89,5,23,3,False
0.58,0.9,5,23,3,False
0.59,0.65,5,25,3,False
0.59,0.66,5,25,3,False
0.59,0.67,5,25,3,False
0.59,0.68,5,25,3,False
0.59,0.69,5,25,3,False
0.59,0.7,5,25,3,False
0.59,0.71,5,25,3,False
0.59,0.72,5,25,3,False
0.59,0.73,5,25,3,False
0.59,0.74,5,25,3,False
0.59,0.75,5,25,3,False
0.59,0.76,5,25,3,False
0.59,0.77,5,25,3,False
0.59,0.78,5,25,3,False
0.59,0.79,5,25,3,False
0.59,0.8,5,25,3,False
0.59,0.81,5,25,3,False
0.59,0.82,5,25,3,False
0.59,0.83,5,25,3,False
0.59,0.84,5,25,3,False
0.59,0.85,5,25,3,False
0.59,0.86,5,25,3,False
0.59,0.87,5,25,3,False
0.59,0.88,5,25,3,False
0.59,0.89,5,25,3,False
0.59,0.9,5,25,3,False
0.6,0.65,5,25,3,False
0.6,0.66,5,25,3,False
