opponent,metric,scheme,mode,min_is_months,oos_len_months,n_units,n_wins,win_rate,win_share_mean,win_share_std,n_cells,diff_mean,diff_median,diff_std,pct_positive,min_wins_for_sig,detectable_win_rate,p_value,significant_05,wins_short_of_sig,direction,verdict
E_top_calmar,cagr,H,anchored,120,36,9,0,0.0,0.022222222222222223,0.050689687752485155,180,-0.06026734791633191,-0.03712187862133154,0.061012950695572596,0.022222222222222223,8.0,0.8888888888888888,0.00390625,True,8.0,A敗,顯著（A敗）
E_top_calmar,calmar,H,anchored,120,36,9,0,0.0,0.06666666666666667,0.11989578808281796,180,-0.3542026224781415,-0.28622282443472546,0.35765954095527197,0.06666666666666667,8.0,0.8888888888888888,0.00390625,True,8.0,A敗,顯著（A敗）
E_top_calmar,mdd,H,anchored,120,36,9,5,0.5555555555555556,0.46111111111111114,0.42188400196157133,180,-0.002939388766939391,-0.003823767525125657,0.018109677796434055,0.46111111111111114,8.0,0.8888888888888888,1.0,False,3.0,A勝,效果不足
B_all,cagr,I,anchored,120,48,6,6,1.0,1.0,0.0,120,0.03860334029767585,0.03150463640479413,0.03308129807486271,1.0,6.0,1.0,0.03125,True,0.0,A勝,顯著（A勝）
B_all,calmar,I,anchored,120,48,6,6,1.0,1.0,0.0,120,0.23529030205289914,0.20113749128734337,0.17229584322914204,1.0,6.0,1.0,0.03125,True,0.0,A勝,顯著（A勝）
B_all,mdd,I,anchored,120,48,6,5,0.8333333333333334,0.7583333333333333,0.3800219291918121,120,0.012784555267481327,0.009527201275647698,0.017799387108866267,0.7583333333333333,6.0,1.0,0.21875,False,1.0,A勝,檢力不足（門檻需近全勝）
D_top_cagr,cagr,I,anchored,120,48,6,0,0.0,0.0,0.0,120,-0.08045071686197643,-0.0735989504488246,0.052591376338087394,0.0,6.0,1.0,0.03125,True,6.0,A敗,顯著（A敗）
D_top_cagr,calmar,I,anchored,120,48,6,1,0.16666666666666666,0.2416666666666667,0.3382553276249565,120,-0.1442974273147262,-0.12025715445198881,0.2975972208092759,0.24166666666666667,6.0,1.0,0.21875,False,5.0,A敗,檢力不足（門檻需近全勝）
D_top_cagr,mdd,I,anchored,120,48,6,6,1.0,0.875,0.19429359227725448,120,0.03207222575856129,0.021638608674563686,0.03791889083731167,0.875,6.0,1.0,0.03125,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,I,anchored,120,48,6,0,0.0,0.0,0.0,120,-0.053233910031862106,-0.04604038038400074,0.03543350875030489,0.0,6.0,1.0,0.03125,True,6.0,A敗,顯著（A敗）
E_top_calmar,calmar,I,anchored,120,48,6,1,0.16666666666666666,0.17500000000000002,0.3110466202999158,120,-0.14980070189024292,-0.16524623805754768,0.22024215183235565,0.175,6.0,1.0,0.21875,False,5.0,A敗,檢力不足（門檻需近全勝）
E_top_calmar,mdd,I,anchored,120,48,6,4,0.6666666666666666,0.6166666666666667,0.44795833139552904,120,0.009355832193789904,0.004302207268723046,0.027760434230906336,0.6166666666666667,6.0,1.0,0.6875,False,2.0,A勝,檢力不足（門檻需近全勝）
B_all,cagr,J,anchored,144,24,9,8,0.8888888888888888,0.8611111111111112,0.2472066162365221,180,0.030031684748305545,0.022866014673767615,0.03395069638359089,0.8611111111111112,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
B_all,calmar,J,anchored,144,24,9,8,0.8888888888888888,0.9055555555555556,0.1810463415200036,180,0.24039364189409962,0.17500485907745594,0.2930432703299,0.9055555555555556,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
B_all,mdd,J,anchored,144,24,9,7,0.7777777777777778,0.7277777777777777,0.3260666257752308,180,0.010874018351407142,0.006988589842063311,0.0161433461305982,0.7277777777777777,8.0,0.8888888888888888,0.1796875,False,1.0,A勝,差一場就顯著
D_top_cagr,cagr,J,anchored,144,24,9,2,0.2222222222222222,0.21666666666666667,0.4301162633521313,180,-0.11161419775908078,-0.06710061463917884,0.13188684631432762,0.21666666666666667,8.0,0.8888888888888888,0.1796875,False,6.0,A敗,效果不足
D_top_cagr,calmar,J,anchored,144,24,9,2,0.2222222222222222,0.23888888888888887,0.39510898637098996,180,-0.35979773663639697,-0.2556474084445234,0.5988046021718074,0.2388888888888889,8.0,0.8888888888888888,0.1796875,False,6.0,A敗,效果不足
D_top_cagr,mdd,J,anchored,144,24,9,8,0.8888888888888888,0.8500000000000001,0.21505813167606566,180,0.026956102332696217,0.01959622454680751,0.03581401150709224,0.85,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,J,anchored,144,24,9,1,0.1111111111111111,0.17222222222222222,0.3270236145058097,180,-0.05788697249961583,-0.03391605565016631,0.073374070468493,0.17222222222222222,8.0,0.8888888888888888,0.0390625,True,7.0,A敗,顯著（A敗）
E_top_calmar,calmar,J,anchored,144,24,9,1,0.1111111111111111,0.2111111111111111,0.3407508050043479,180,-0.2786444550752408,-0.24420831700112533,0.44224181136109153,0.2111111111111111,8.0,0.8888888888888888,0.0390625,True,7.0,A敗,顯著（A敗）
E_top_calmar,mdd,J,anchored,144,24,9,6,0.6666666666666666,0.5888888888888889,0.41289963806124985,180,0.007007191666760362,0.004358235213961351,0.025805118454833766,0.5888888888888889,8.0,0.8888888888888888,0.5078125,False,2.0,A勝,效果不足
B_all,cagr,K,anchored,144,36,6,6,1.0,0.9666666666666667,0.08164965809277258,120,0.03519053683167406,0.03050025991210434,0.026367133509495273,0.9666666666666667,6.0,1.0,0.03125,True,0.0,A勝,顯著（A勝）
B_all,calmar,K,anchored,144,36,6,6,1.0,1.0,0.0,120,0.24211640333302392,0.23810547103852409,0.14906726733755182,1.0,6.0,1.0,0.03125,True,0.0,A勝,顯著（A勝）
B_all,mdd,K,anchored,144,36,6,5,0.8333333333333334,0.6916666666666668,0.3980159125797192,120,0.011559353676900372,0.00571907193301345,0.019217026389240728,0.6916666666666667,6.0,1.0,0.21875,False,1.0,A勝,檢力不足（門檻需近全勝）
D_top_cagr,cagr,K,anchored,144,36,6,0,0.0,0.06666666666666667,0.16329931618554522,120,-0.1105647715552954,-0.11877150132422992,0.08050355023353119,0.06666666666666667,6.0,1.0,0.03125,True,6.0,A敗,顯著（A敗）
D_top_cagr,calmar,K,anchored,144,36,6,1,0.16666666666666666,0.11666666666666665,0.2401388487243717,120,-0.3297457592998054,-0.3013174140784506,0.3133824041671495,0.11666666666666667,6.0,1.0,0.21875,False,5.0,A敗,檢力不足（門檻需近全勝）
D_top_cagr,mdd,K,anchored,144,36,6,5,0.8333333333333334,0.8666666666666667,0.2160246899469287,120,0.022097835513713228,0.016405769089032504,0.030407055981549764,0.8666666666666667,6.0,1.0,0.21875,False,1.0,A勝,檢力不足（門檻需近全勝）
E_top_calmar,cagr,K,anchored,144,36,6,0,0.0,0.0,0.0,120,-0.05813554288129465,-0.05125150982060819,0.04626410916975006,0.0,6.0,1.0,0.03125,True,6.0,A敗,顯著（A敗）
E_top_calmar,calmar,K,anchored,144,36,6,0,0.0,0.06666666666666667,0.16329931618554522,120,-0.25610592556142514,-0.19513109362684578,0.19974661817807615,0.06666666666666667,6.0,1.0,0.03125,True,6.0,A敗,顯著（A敗）
