tree_id,level,cluster_id,market,n_members,top_F1,top_C_source,pct_v1,CAGR_median,MDD_median,n_cross_partners,n_high_complement,pct_high_complement,min_cross_corr,best_partner_cluster,universal
XM_normal,L3,192,US,21,P_IC52%/PB43%,EPS71%/ROE29%,0.0,0.3170054926661898,-0.5589284087491712,112,102,0.9107142857142857,0.16115828696805007,1,False
XM_normal,L3,381,US,36,PB25%/PS25%,EPS67%/FCF_P22%,0.0,0.2458790905500605,-0.6517976020445135,112,102,0.9107142857142857,0.19499071015566885,1,False
XM_normal,L3,350,US,26,PB54%/P_IC27%,FCF_P100%,1.0,0.21658981719700374,-0.6829630660761673,112,101,0.9017857142857143,0.19741075688466814,1,False
XM_normal,L3,194,US,26,REVENUE50%/EV_EBITDA31%,EPS92%/ROE8%,0.0,0.33324822898364637,-0.533826103591404,112,100,0.8928571428571429,0.18816962878292764,1,False
XM_normal,L3,380,US,30,P_IC50%/PB50%,ROE33%/EPS33%,1.0,0.1653016537285393,-0.6911452971222212,112,100,0.8928571428571429,0.1988850117791871,1,False
XM_normal,L3,200,US,25,VOL52%/EPS24%,EPS88%/ROE12%,0.0,0.3112312282631266,-0.5945495062191621,112,99,0.8839285714285714,0.1977542938775457,1,False
XM_normal,L3,222,US,39,REVENUE51%/EPS49%,EPS36%/ROE33%,0.0,0.2434689739478854,-0.5282673132446025,112,99,0.8839285714285714,0.1910640391699401,1,False
XM_normal,L3,376,US,20,EV_S100%,EPS35%/ROE30%,0.0,0.2056207592966813,-0.660224382810605,112,99,0.8839285714285714,0.1849106914823337,1,False
XM_normal,L3,408,US,42,P_IC71%/REVENUE29%,ROE48%/EPS48%,0.0,0.23792827794140345,-0.5290787330242294,112,98,0.875,0.19387137183212885,1,False
XM_normal,L3,195,US,69,REVENUE70%/EV_EBITDA29%,EPS90%/ROE10%,0.0,0.27785014745957,-0.526893054306458,112,97,0.8660714285714286,0.1941578531812824,1,False
XM_normal,L3,326,US,28,PB100%,ROE43%/EPS32%,0.0,0.2832723534595289,-0.553102260710481,112,94,0.8392857142857143,0.1505858631801093,1,False
XM_normal,L3,393,US,27,REVENUE100%,FCF_P44%/ROE26%,0.0,0.278362491343197,-0.4352709991855903,112,94,0.8392857142857143,0.1839830025293253,1,False
XM_normal,L3,282,US,36,PS100%,EPS36%/ROE31%,1.0,0.16587234169069243,-0.5550261981642475,112,94,0.8392857142857143,0.20053634767442322,1,False
XM_normal,L3,215,US,50,EPS34%/VOL32%,ROE38%/FCF_P34%,0.0,0.2338565231866923,-0.6422878870052993,112,92,0.8214285714285714,0.19534203287630952,1,False
XM_normal,L3,311,US,32,PS50%/EV_S50%,FCF_P31%/ROE31%,1.0,0.2068644361816005,-0.5744010373710298,112,91,0.8125,0.19765313980997085,1,False
XM_normal,L3,453,US,30,EV_S47%/PS47%,ROE67%/EPS33%,0.0,0.31132842651266185,-0.6734883596053509,112,90,0.8035714285714286,0.20894784339170755,1,False
XM_normal,L3,437,US,27,EV_S67%/PS33%,EPS56%/ROE44%,1.0,0.2237027215540281,-0.6467715669473277,112,90,0.8035714285714286,0.18183132953950865,1,False
