tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_members,n_backfilled,n_capped_clusters,r2_median,max_cluster_share,enb_computed,oos_cagr,oos_mdd,oos_sharpe,oos_enb
TW,R,silhouette_is,legacy,equal,3,2013-01,2020-12,2021-01,2023-12,36,12,60,60,0,0,0.8484368823892638,0.16392215568862276,True,0.2905809479656922,-0.13877993564847613,1.4177739687420252,2.7028501929514026
TW,R,silhouette_is,legacy,proportional,3,2013-01,2020-12,2021-01,2023-12,36,12,60,60,0,0,0.8484368823892638,0.16392215568862276,True,0.2804708739010391,-0.1398009018055043,1.3835250310715779,2.6760343293053146
TW,R,silhouette_is,0.01,equal,3,2013-01,2020-12,2021-01,2023-12,36,12,67,67,0,0,0.8484368823892638,0.16392215568862276,True,0.28652340946751687,-0.13963608920365722,1.3949405903698862,2.693426503162271
TW,R,silhouette_is,0.01,proportional,3,2013-01,2020-12,2021-01,2023-12,36,12,67,67,0,0,0.8484368823892638,0.16392215568862276,True,0.2767399540507527,-0.13933586373327167,1.3741592071136037,2.69877631396497
TW,R,silhouette_is,0.03,equal,3,2013-01,2020-12,2021-01,2023-12,36,12,200,200,0,0,0.8484368823892638,0.16392215568862276,True,0.26749319223942103,-0.13754376628205012,1.350944845040826,3.0401338616008733
TW,R,silhouette_is,0.03,proportional,3,2013-01,2020-12,2021-01,2023-12,36,12,200,200,0,0,0.8484368823892638,0.16392215568862276,True,0.270525961778892,-0.13980111091218195,1.3502974835722514,2.9794596398355906
TW,R,silhouette_is,0.05,equal,3,2013-01,2020-12,2021-01,2023-12,36,12,334,334,27,0,0.8484368823892638,0.16392215568862276,True,0.25953768187734805,-0.137310252875816,1.3238157906898353,3.029525016615325
TW,R,silhouette_is,0.05,proportional,3,2013-01,2020-12,2021-01,2023-12,36,12,334,334,9,0,0.8484368823892638,0.16392215568862276,True,0.25255600117747656,-0.13724438017718432,1.3016526694037611,3.110547068774587
TW,R,silhouette_is,0.1,equal,3,2013-01,2020-12,2021-01,2023-12,36,12,668,668,237,0,0.8484368823892638,0.16392215568862276,False,0.2556847351928917,-0.13604562725807656,1.3196196488064,
TW,R,silhouette_is,0.1,proportional,3,2013-01,2020-12,2021-01,2023-12,36,12,668,668,231,0,0.8484368823892638,0.16392215568862276,False,0.2481161710821005,-0.13569571081692888,1.2937252703681228,
TW,R,fixed,legacy,equal,4,2016-01,2023-12,2024-01,2025-12,24,6,30,30,0,0,0.8723860081975009,0.26706586826347306,True,0.004839049418278618,-0.15871227539957322,0.10225113012644678,4.186400531730989
TW,R,fixed,legacy,proportional,4,2016-01,2023-12,2024-01,2025-12,24,6,30,30,0,0,0.8723860081975009,0.26706586826347306,True,0.011584791908296088,-0.15283931834432707,0.15547550381994693,4.326664831221892
TW,R,fixed,0.01,equal,4,2016-01,2023-12,2024-01,2025-12,24,6,67,67,0,0,0.8723860081975009,0.26706586826347306,True,0.0012577649011062952,-0.15519740537897575,0.07197978449923682,4.711295227970724
TW,R,fixed,0.01,proportional,4,2016-01,2023-12,2024-01,2025-12,24,6,67,67,0,0,0.8723860081975009,0.26706586826347306,True,-0.00019562598173583634,-0.14807819168196723,0.05986222484094647,4.6027288096086725
TW,R,fixed,0.03,equal,4,2016-01,2023-12,2024-01,2025-12,24,6,200,200,0,0,0.8723860081975009,0.26706586826347306,True,0.0027307114624912643,-0.15190344166579428,0.08364265984211973,5.104277720133126
TW,R,fixed,0.03,proportional,4,2016-01,2023-12,2024-01,2025-12,24,6,200,200,0,0,0.8723860081975009,0.26706586826347306,True,-0.002728991033533301,-0.1492020479722732,0.03848494370742472,4.889877171848945
TW,R,fixed,0.05,equal,4,2016-01,2023-12,2024-01,2025-12,24,6,334,334,17,0,0.8723860081975009,0.26706586826347306,True,0.007560620577480082,-0.14732678148280365,0.12367105781247173,5.125889177169202
TW,R,fixed,0.05,proportional,4,2016-01,2023-12,2024-01,2025-12,24,6,334,334,27,0,0.8723860081975009,0.26706586826347306,True,0.0049318819144252846,-0.14895428194015725,0.10194795200612436,5.099029351021731
TW,R,fixed,0.1,equal,4,2016-01,2023-12,2024-01,2025-12,24,6,668,668,290,0,0.8723860081975009,0.26706586826347306,False,0.013066611563796071,-0.1395900356920522,0.1693420329390572,
TW,R,fixed,0.1,proportional,4,2016-01,2023-12,2024-01,2025-12,24,6,668,668,290,0,0.8723860081975009,0.26706586826347306,False,0.005486515030959982,-0.14078163723907489,0.10652972337125194,
TW,R,silhouette_is,legacy,equal,4,2016-01,2023-12,2024-01,2025-12,24,5,25,25,0,0,0.8723860081975009,0.288622754491018,True,0.0015521588760141203,-0.15746358276999806,0.07540424019462472,4.195581138092272
TW,R,silhouette_is,legacy,proportional,4,2016-01,2023-12,2024-01,2025-12,24,5,25,25,0,0,0.8723860081975009,0.288622754491018,True,-0.0004583099988246797,-0.16230892962281773,0.05929595047359736,4.336734391259059
TW,R,silhouette_is,0.01,equal,4,2016-01,2023-12,2024-01,2025-12,24,5,67,67,0,0,0.8723860081975009,0.288622754491018,True,-0.006149559147791472,-0.15396836517226054,0.008355288417000074,4.845790203783873
TW,R,silhouette_is,0.01,proportional,4,2016-01,2023-12,2024-01,2025-12,24,5,67,67,0,0,0.8723860081975009,0.288622754491018,True,-0.00014637203581846503,-0.14460017424738636,0.05866388928414483,4.817669745396475
TW,R,silhouette_is,0.03,equal,4,2016-01,2023-12,2024-01,2025-12,24,5,200,200,0,0,0.8723860081975009,0.288622754491018,True,0.00023111623128002634,-0.14811001431853088,0.062131421602039015,5.201026510725003
TW,R,silhouette_is,0.03,proportional,4,2016-01,2023-12,2024-01,2025-12,24,5,200,200,0,0,0.8723860081975009,0.288622754491018,True,-0.000292439992282012,-0.15034822562499917,0.057498411956804614,5.166310086629057
TW,R,silhouette_is,0.05,equal,4,2016-01,2023-12,2024-01,2025-12,24,5,334,334,32,0,0.8723860081975009,0.288622754491018,True,0.0018752016923246906,-0.14621726515631728,0.07569731493180057,5.286036482693056
TW,R,silhouette_is,0.05,proportional,4,2016-01,2023-12,2024-01,2025-12,24,5,334,334,25,0,0.8723860081975009,0.288622754491018,True,0.007207140212044605,-0.14969746454421673,0.12066738152233006,5.242058783994799
TW,R,silhouette_is,0.1,equal,4,2016-01,2023-12,2024-01,2025-12,24,5,668,668,300,0,0.8723860081975009,0.288622754491018,False,0.008918282857101056,-0.1403894382681281,0.13505485646245002,
TW,R,silhouette_is,0.1,proportional,4,2016-01,2023-12,2024-01,2025-12,24,5,668,668,300,0,0.8723860081975009,0.288622754491018,False,0.008929282386281212,-0.1432574381218682,0.1350803113860412,
US,A,fixed,legacy,equal,1,2002-01,2012-12,2013-01,2014-12,24,7,35,35,0,0,0.7999306778199065,0.2736842105263158,True,0.4459781898509121,-0.027446301903104375,3.4151723972485675,6.628036869869705
US,A,fixed,legacy,proportional,1,2002-01,2012-12,2013-01,2014-12,24,7,35,35,0,0,0.7999306778199065,0.2736842105263158,True,0.41586382129518484,-0.023842087443676552,3.165016867359984,6.752402522044416
US,A,fixed,0.01,equal,1,2002-01,2012-12,2013-01,2014-12,24,7,84,84,5,0,0.7999306778199065,0.2736842105263158,True,0.4126769704597699,-0.028954843587261303,2.9961919652803126,6.822505382552432
